ComponentId,Latitude,Longitude,Depth
2,1.156402281,103.905164841,2.5
2,1.156366106,103.905164841,2.5
2,1.156366106,103.905182811,2.5
2,1.156329932,103.905182811,2.5
2,1.156329932,103.905200781,2.5
2,1.156293757,103.905200781,2.5
2,1.156293757,103.905218751,2.5
2,1.156257582,103.905218751,2.5
2,1.156257582,103.905236721,2.5
2,1.156239495,103.905236721,2.5
2,1.156239495,103.905254691,2.5
2,1.156221408,103.905254691,2.5
2,1.156221408,103.905272661,2.5
2,1.15620332,103.905272661,2.5
2,1.15620332,103.905290631,2.5
2,1.156185233,103.905290631,2.5
2,1.156185233,103.9053086,2.5
2,1.156167146,103.9053086,2.5
2,1.156167146,103.90532657,2.5
2,1.156149059,103.90532657,2.5
2,1.156149059,103.90534454,2.5
2,1.156130971,103.90534454,2.5
2,1.156130971,103.90536251,2.5
2,1.156112884,103.90536251,2.5
2,1.156112884,103.90538048,2.5
2,1.156094797,103.90538048,2.5
2,1.156094797,103.90539845,2.5
2,1.156076709,103.90539845,2.5
2,1.156076709,103.90541642,2.5
2,1.156058622,103.90541642,2.5
2,1.156058622,103.90543439,2.5
2,1.156040535,103.90543439,2.5
2,1.156040535,103.90545236,2.5
2,1.156022447,103.90545236,2.5
2,1.156022447,103.90547033,2.5
2,1.15600436,103.90547033,2.5
2,1.15600436,103.9054883,2.5
2,1.155968185,103.9054883,2.5
2,1.155968185,103.90550627,2.5
2,1.155950098,103.90550627,2.5
2,1.155950098,103.90552424,2.5
2,1.155932011,103.90552424,2.5
2,1.155932011,103.90554221,2.5
2,1.155913923,103.90554221,2.5
2,1.155913923,103.90556018,2.5
2,1.155895836,103.90556018,2.5
2,1.155895836,103.90557815,2.5
2,1.155877749,103.90557815,2.5
2,1.155877749,103.90559612,2.5
2,1.155859662,103.90559612,2.5
2,1.155859662,103.90561409,2.5
2,1.155841574,103.90561409,2.5
2,1.155841574,103.90563206,2.5
2,1.155823487,103.90563206,2.5
2,1.155823487,103.905650029,2.5
2,1.1558054,103.905650029,2.5
2,1.1558054,103.905667999,2.5
2,1.155787312,103.905667999,2.5
2,1.155787312,103.905685969,2.5
2,1.155769225,103.905685969,2.5
2,1.155769225,103.905703939,2.5
2,1.155751138,103.905703939,2.5
2,1.155751138,103.905721909,2.5
2,1.15573305,103.905721909,2.5
2,1.15573305,103.905739879,2.5
2,1.155714963,103.905739879,2.5
2,1.155714963,103.905757849,2.5
2,1.155678788,103.905757849,2.5
2,1.155678788,103.905775819,2.5
2,1.155660701,103.905775819,2.5
2,1.155660701,103.905793789,2.5
2,1.155642614,103.905793789,2.5
2,1.155642614,103.905811759,2.5
2,1.155624526,103.905811759,2.5
2,1.155624526,103.905829729,2.5
2,1.155606439,103.905829729,2.5
2,1.155606439,103.905847699,2.5
2,1.155588352,103.905847699,2.5
2,1.155588352,103.905865669,2.5
2,1.155570264,103.905865669,2.5
2,1.155570264,103.905883639,2.5
2,1.155552177,103.905883639,2.5
2,1.155552177,103.905901609,2.5
2,1.15553409,103.905901609,2.5
2,1.15553409,103.905919579,2.5
2,1.155516003,103.905919579,2.5
2,1.155516003,103.905937549,2.5
2,1.155497915,103.905937549,2.5
2,1.155497915,103.905955519,2.5
2,1.155479828,103.905955519,2.5
2,1.155479828,103.905973489,2.5
2,1.155461741,103.905973489,2.5
2,1.155461741,103.905991459,2.5
2,1.155439408,103.905991459,2.5
2,1.155439408,103.905937549,2.5
2,1.155431418,103.905919579,2.5
2,1.155081907,103.905706548,2.5
2,1.155009558,103.905653182,2.5
2,1.154991753,103.90563206,2.5
2,1.154983454,103.90561409,2.5
2,1.154978133,103.90559612,2.5
2,1.154973682,103.90556018,2.5
